지역,SIG_CD
강원특별자치도 속초시,51210
강원특별자치도 양양군,51830
경기도 가평군,41820
경기도 광명시,41210
경기도 광주시,41610
경기도 남양주시,41360
경기도 동두천시,41250
경기도 수원시 팔달구,41115
경기도 시흥시,41390
경기도 안산시 단원구,41273
경기도 안산시 상록구,41271
경기도 안성시,41550
경기도 안양시 만안구,41171
경기도 양주시,41630
경기도 양평군,41830
경기도 여주시,41670
경기도 연천군,41800
경기도 오산시,41370
경기도 의왕시,41430
경기도 이천시,41500
경기도 파주시,41480
경기도 포천시,41650
경기도 화성시,41590
경상남도 거제시,48310
경상남도 남해군,48840
경상남도 창원시 마산합포구,48125
경상남도 창원시 성산구,48123
경상남도 창원시 의창구,48121
경상남도 창원시 진해구,48129
경상남도 통영시,48220
경상북도 경주시,47130
경상북도 포항시 남구,47111
경상북도 포항시 북구,47113
부산광역시 기장군,26710
부산광역시 부산진구,26230
부산광역시 사하구,26380
부산광역시 수영구,26500
부산광역시 영도구,26200
부산광역시 해운대구,26350
세종특별자치시 세종시,36110
인천광역시 옹진군,28720
전라남도 광양시,46230
전라남도 구례군,46730
전라남도 담양군,46710
전라남도 무안군,46840
전라남도 신안군,46910
전라남도 여수시,46130
전라남도 진도군,46900
전라북도 부안군,45800
전라북도 전주시 덕진구,45113
전라북도 전주시 완산구,45111
제주특별자치도 제주시,50110
충청남도 보령시,44180
충청남도 서산시,44210
충청남도 아산시,44200
충청남도 천안시 동남구,44131
충청남도 태안군,44825
충청북도 단양군,43800
